side,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct,bars_held,exit_reason
LONG,2025-12-07 21:30:00+00:00,2025-12-07 21:35:00+00:00,90976.0,90828.64771428572,-147.3522857142816,-0.0016196830561277875,1,SL
SHORT,2025-12-07 22:00:00+00:00,2025-12-07 22:05:00+00:00,89913.97,89217.31214285715,696.6578571428545,0.007748049131217924,1,TP
SHORT,2025-12-07 22:15:00+00:00,2025-12-07 22:25:00+00:00,89310.0,89708.32885714286,-398.3288571428566,-0.004460070060943417,2,SL
SHORT,2025-12-07 22:40:00+00:00,2025-12-08 00:35:00+00:00,90096.11,90573.52571428572,-477.4157142857148,-0.005298960346742105,23,SL
SHORT,2025-12-08 00:40:00+00:00,2025-12-08 01:05:00+00:00,90322.0,90577.55885714285,-255.5588571428525,-0.0028294198217804355,5,SL
LONG,2025-12-08 01:10:00+00:00,2025-12-08 01:30:00+00:00,90694.07,91317.86428571428,623.7942857142771,0.0068780052071130676,4,TP
LONG,2025-12-08 01:35:00+00:00,2025-12-08 01:40:00+00:00,91644.08,91360.61942857143,-283.4605714285717,-0.00309305927266193,1,SL
LONG,2025-12-08 02:10:00+00:00,2025-12-08 07:35:00+00:00,90965.86,91797.04428571429,831.184285714291,0.00913732125122866,65,TP
LONG,2025-12-08 07:55:00+00:00,2025-12-08 09:00:00+00:00,91571.36,91956.24285714286,384.8828571428603,0.004203092070958215,13,TP
LONG,2025-12-08 09:05:00+00:00,2025-12-08 09:25:00+00:00,92108.55,91934.71028571429,-173.83971428571385,-0.0018873352613379957,4,SL
LONG,2025-12-08 09:30:00+00:00,2025-12-08 10:00:00+00:00,92052.77,91875.04657142857,-177.72342857143667,-0.0019306689909650374,6,SL
LONG,2025-12-08 10:05:00+00:00,2025-12-08 12:05:00+00:00,91951.08,91803.42257142857,-147.6574285714305,-0.0016058259301732019,24,SL
LONG,2025-12-08 12:20:00+00:00,2025-12-08 12:40:00+00:00,91849.48,91723.88457142857,-125.59542857142515,-0.0013674048951765993,4,SL
LONG,2025-12-08 12:45:00+00:00,2025-12-08 13:15:00+00:00,91831.74,91697.33657142858,-134.40342857142969,-0.0014635835994333732,6,SL
SHORT,2025-12-08 14:20:00+00:00,2025-12-08 14:30:00+00:00,91258.0,91470.07085714285,-212.07085714285495,-0.0023238604521560297,2,SL
SHORT,2025-12-08 14:35:00+00:00,2025-12-08 14:40:00+00:00,91004.0,91306.14542857143,-302.14542857142806,-0.003320133494917015,1,SL
SHORT,2025-12-08 14:45:00+00:00,2025-12-08 15:10:00+00:00,91311.77,90388.85857142857,922.9114285714313,0.010107255927373122,5,TP
SHORT,2025-12-08 15:20:00+00:00,2025-12-08 18:20:00+00:00,89979.94,90515.1322857143,-535.1922857142927,-0.0059479066746909665,36,SL
SHORT,2025-12-08 18:25:00+00:00,2025-12-08 18:40:00+00:00,90157.95,90422.40942857142,-264.45942857142654,-0.002933290170987989,3,SL
SHORT,2025-12-08 18:45:00+00:00,2025-12-08 20:15:00+00:00,90281.99,90547.49,-265.5,-0.002940785864378931,18,SL
SHORT,2025-12-08 20:25:00+00:00,2025-12-08 20:35:00+00:00,90466.01,90570.0,-103.99000000000524,-0.001149492500000887,2,FLIP
LONG,2025-12-08 20:40:00+00:00,2025-12-08 21:30:00+00:00,90630.06,91253.5307142857,623.4707142857078,0.006879292745538377,10,TP
LONG,2025-12-08 21:40:00+00:00,2025-12-08 22:10:00+00:00,91180.19,90963.59257142857,-216.59742857143283,-0.002375487795884532,6,SL
LONG,2025-12-08 22:15:00+00:00,2025-12-08 22:35:00+00:00,91011.99,90813.90171428572,-198.08828571428603,-0.00217650757569729,4,SL
LONG,2025-12-08 22:45:00+00:00,2025-12-08 23:20:00+00:00,90885.61,90692.83942857143,-192.77057142856938,-0.002121024125035519,7,SL
LONG,2025-12-08 23:25:00+00:00,2025-12-09 00:30:00+00:00,90731.99,90523.81314285715,-208.17685714285471,-0.002294415201770122,13,SL
SHORT,2025-12-09 00:40:00+00:00,2025-12-09 01:15:00+00:00,90458.08,90602.35257142858,-144.27257142857707,-0.0015949108297299375,7,SL
SHORT,2025-12-09 01:20:00+00:00,2025-12-09 01:40:00+00:00,90503.21,90045.66500000001,457.54499999999825,0.005055566537363683,4,TP
SHORT,2025-12-09 01:45:00+00:00,2025-12-09 02:00:00+00:00,90036.0,90239.26371428571,-203.26371428571292,-0.002257582681213214,3,SL
